word,textbook_version,grade,book_volume,unit,phonetic,definition,part_of_speech,note
rainy,苏教版,六年级,六上,Unit 2,/'reɪni/,有雨的，多雨的,形容词,
meet,苏教版,六年级,六上,Unit 2,/mi:t/,遇见，见面,动词,
lose,苏教版,六年级,六上,Unit 2,/lu:z/,丢失,动词,
know,苏教版,六年级,六上,Unit 2,/nəʊ/,知道,动词,
What happened?,苏教版,六年级,六上,Unit 2,/wɒt/ /ˈhæpənd/,出什么事了？,句子,
climb up,苏教版,六年级,六上,Unit 2,/klaɪm/ /ʌp/,爬上,短语,
hold onto,苏教版,六年级,六上,Unit 2,/həʊld/ /'ɒntə/,抓紧,短语,
fly away,苏教版,六年级,六上,Unit 2,/flaɪ/ /əˈweɪ/,飞走,短语,
holiday,苏教版,六年级,六上,Unit 3,/ˈhɒlədeɪ/,假日，假期,名词,
National Day,苏教版,六年级,六上,Unit 3,/ˈnæʃ(ə)nəl/ /deɪ/,国庆节,短语,
call  ,苏教版,六年级,六上,Unit 3,/kɔːl/,打电话,动词,
Bund,苏教版,六年级,六上,Unit 3,/bʌnd/,（上海）外滩,名词,
Shanghai Museum,苏教版,六年级,六上,Unit 3,Shanghai/mjuˈziːəm/,上海博物馆,短语,
star,苏教版,六年级,六上,Unit 3,/stɑː/,星星,名词,
Great Wall,苏教版,六年级,六上,Unit 3,/ɡreɪt/ /wɔːl/,长城,短语,
Palace Museum,苏教版,六年级,六上,Unit 3,/mjuˈziːəm/,故宫,短语,
Summer Palace,苏教版,六年级,六上,Unit 3,/ˈpæləs/,颐和园,短语,
Tian'anmen Square,苏教版,六年级,六上,Unit 3,Tian'anmen/skweə/,天安门广场 ,短语,
fashion show,苏教版,六年级,六上,Unit 3,/ˈfæʃ(ə)n/ /ʃəʊ/,时装表演，时装秀,短语,
excited,苏教版,六年级,六上,Unit 3,/ɪkˈsaɪtɪd/,激动的，兴奋的,形容词,
paper,苏教版,六年级,六上,Unit 3,/ˈpeɪpə/,纸,名词,
ask,苏教版,六年级,六上,Unit 3,/ɑːsk/,问,动词,
bottle,苏教版,六年级,六上,Unit 3,/ˈbɒt(ə)l/,瓶子,名词,
go well,苏教版,六年级,六上,Unit 3,/gəʊ/,进展顺利,短语,
at first,苏教版,六年级,六上,Unit 3,/æt/,开始，最初,短语,
heavy rain,苏教版,六年级,六上,Unit 3,/'hevi/ /reɪn/,大雨,名词,
then and now,苏教版,六年级,六上,Unit 4,/ðen/ /ənd/ /naʊ/,过去和现在,短语,
ago,苏教版,六年级,六上,Unit 4,/əˈgəʊ/,…… 以前,副词,
use,苏教版,六年级,六上,Unit 4,/ju:z/,使用，利用,动词,
telephone,苏教版,六年级,六上,Unit 4,/'telɪfəʊn/,电话,名词,
office,苏教版,六年级,六上,Unit 4,/pəˈliːs/,办公室,名词,
mobile phone,苏教版,六年级,六上,Unit 4,/ˈməʊbaɪl/ /fəʊn/,移动电话，手机,名词,
anywhere,苏教版,六年级,六上,Unit 4,/'eniweə/,随处，到处,副词,
radio,苏教版,六年级,六上,Unit 4,/ˈreɪdiəʊ/,收音机,名词,
newspaper,苏教版,六年级,六上,Unit 4,/ˈnjuːzpeɪpə/,报纸,名词,
news,苏教版,六年级,六上,Unit 4,/njuːz/,新闻,名词,
watch,苏教版,六年级,六上,Unit 4,/wɒtʃ/,观看,动词,
e-book,苏教版,六年级,六上,Unit 4,/'i:bʊk/,电子书,名词,
make friends,苏教版,六年级,六上,Unit 4,/meɪk/ /frendz/,交朋友,短语,
all over the world,苏教版,六年级,六上,Unit 4,/ɔːl/ /ˈəʊvə/ /ðə/ /wɜːld/,全世界,短语,
do shopping,苏教版,六年级,六上,Unit 4,/du:/ /'ʃɒpɪŋ/,购物,短语,
TV（=television),苏教版,六年级,六上,Unit 4,/ti:'vi:/,电视,名词,
look out of,苏教版,六年级,六上,Unit 4,/lʊk/ /aʊt/ /əf/,朝… 外看,短语,
go on,苏教版,六年级,六上,Unit 4,/gəʊ/ /ɒn/,继续,短语,
still,苏教版,六年级,六上,Unit 4,/stɪl/,仍然,副词,
What day is today?,苏教版,六年级,六上,Unit 4,/wɒt/ /deɪ/ /ɪz/ /təˈdeɪ/,今天是星期几？,句子,
spell,苏教版,六年级,六上,Unit 4,/spel/,拼读，拼写,动词,
make a sentence,苏教版,六年级,六上,Unit 4,/meɪk/ /ə/ /ˈsentəns/,造句,短语,
with,苏教版,六年级,六上,Unit 4,/wɪð/,用,介词,
yesterday,苏教版,六年级,六上,Unit 4,/ˈjestədeɪ/,昨天,副词,
sign,苏教版,六年级,六上,Unit 5,/saɪn/,标识,名词,
shopping centre,苏教版,六年级,六上,Unit 5,/'ʃɒpɪŋ/ /ˈsentə/,购物中心,短语,
careful,苏教版,六年级,六上,Unit 5,/keəf(ə)l/,小心的，当心的,形容词,
What does it mean?,苏教版,六年级,六上,Unit 5,/wɒt/ /dʌz/ /ɪt/ /mi:n/,它是什么意思？,句子,
mean,苏教版,六年级,六上,Unit 5,/mi:n/,意思是,动词,
floor,苏教版,六年级,六上,Unit 5,/flɔː/,地面,名词,
litter,苏教版,六年级,六上,Unit 5,/ˈlɪtə/,乱扔垃圾,动词,
go in,苏教版,六年级,六上,Unit 5,/gəʊ/ /ɪn/,进入，走进,短语,
take … into ,苏教版,六年级,六上,Unit 5,/teɪk/ /ˈɪntə/,带入,短语,
restaurant,苏教版,六年级,六上,Unit 5,/ˈrestrɒnt/,饭店，餐厅,名词,
someone,苏教版,六年级,六上,Unit 5,/ˈsʌmwʌn/,某人,名词,
smoke,苏教版,六年级,六上,Unit 5,/sməʊk/,吸烟，抽烟,动词,
smell  ,苏教版,六年级,六上,Unit 5,/smel/,闻到；闻起来,动词,
No eating or drinking. ,苏教版,六年级,六上,Unit 5,/nəʊ/ /'i:tɪŋ/ /ɔː/ /'drɪŋkɪŋ/,请勿饮食。,句子,
No littering. ,苏教版,六年级,六上,Unit 5,/nəʊ/ /ˈlɪtərɪŋ/,请勿乱扔垃圾。,句子,
No parking. ,苏教版,六年级,六上,Unit 5,/nəʊ/ /'pɑːkɪŋ/,请勿停车。,句子,
No smoking. ,苏教版,六年级,六上,Unit 5,/nəʊ/ /'sməʊkɪŋ/,请勿吸烟。,句子,
Danger!,苏教版,六年级,六上,Unit 5,/ˈdeɪndʒə/,危险！,句子,
Wet floor. ,苏教版,六年级,六上,Unit 5,/wet/ /flɔː/,小心地滑。,句子,
outing,苏教版,六年级,六上,Unit 5,/'aʊtɪŋ/,外出游玩，远足,名词,
walk on,苏教版,六年级,六上,Unit 5,/wɔːk/ /ɒn/,继续走路,短语,
around,苏教版,六年级,六上,Unit 5,/əˈraʊnd/,在…… 周围,介词,
keep,苏教版,六年级,六上,Unit 6,/ki:p/,保持,动词,
clean,苏教版,六年级,六上,Unit 6,/kli:n/,干净的，整洁的,形容词,
make,苏教版,六年级,六上,Unit 6,/meɪk/,使…… 变得,动词,
air,苏教版,六年级,六上,Unit 6,/eə/,空气,名词,
dirty,苏教版,六年级,六上,Unit 6,/ˈdɜːti/,肮脏的,形容词,
smoke,苏教版,六年级,六上,Unit 6,/sməʊk/,烟雾；抽烟,名词,
rubbish,苏教版,六年级,六上,Unit 6,/ˈrʌbɪʃ/,垃圾,名词,
messy,苏教版,六年级,六上,Unit 6,/'mesi/,肮脏的，乱七八糟的,形容词,
dead,苏教版,六年级,六上,Unit 6,/ded/,死的,形容词,
move… away from,苏教版,六年级,六上,Unit 6,/mu:v/ /əˈweɪ/ /frɒm/,从…… 搬走,短语,
bin,苏教版,六年级,六上,Unit 6,/bɪn/,垃圾桶,名词,
plant,苏教版,六年级,六上,Unit 6,/ˈplɑːnt/,种植，栽种；植物,动词,
more,苏教版,六年级,六上,Unit 6,/mɔː/,更多的,形容词,
museum,苏教版,六年级,六上,Unit 6,/mjuˈziːəm/,博物馆,名词,
throw,苏教版,六年级,六上,Unit 6,/θrəʊ/,扔,动词,
skin,苏教版,六年级,六上,Unit 6,/skɪn/,果皮,名词,
ground,苏教版,六年级,六上,Unit 6,/graʊnd/,地面，地上,名词,
pick… up,苏教版,六年级,六上,Unit 6,/pɪk/ /ʌp/,捡起，拾起,动词,
slip,苏教版,六年级,六上,Unit 6,/slɪp/,滑到,动词,
fall,苏教版,六年级,六上,Unit 6,/fɔːl/,摔倒,动词,
protect,苏教版,六年级,六上,Unit 7,/prəˈtekt/,保护,动词,
Earth,苏教版,六年级,六上,Unit 7,/ɜːθ/,地球,名词,
save,苏教版,六年级,六上,Unit 7,/seɪv/,节约,动词,
useful,苏教版,六年级,六上,Unit 7,/ˈjuːsf(ə)l/,有用的,形容词,
much,苏教版,六年级,六上,Unit 7,/mʌtʃ/,很多,形容词,
waste,苏教版,六年级,六上,Unit 7,/weɪst/,浪费,动词,
reuse,苏教版,六年级,六上,Unit 7,/riːˈjuːz/,再利用,动词,
energy,苏教版,六年级,六上,Unit 7,/ˈenədʒi/,能源，能量,名词,
most,苏教版,六年级,六上,Unit 7,/məʊst/,大部分；最多的,名词,
come from,苏教版,六年级,六上,Unit 7,/kʌm/ /frɒm/,从… 来，来自,动词,
coal,苏教版,六年级,六上,Unit 7,/kəʊl/,煤炭,名词,
oil,苏教版,六年级,六上,Unit 7,/ɔɪl/,石油,名词,
drive,苏教版,六年级,六上,Unit 7,/draɪv/,开车，驾驶,动词,
wood,苏教版,六年级,六上,Unit 7,/wʊd/,木头，木材,名词,
other,苏教版,六年级,六上,Unit 7,/'ʌðə/,其他的,形容词,
cut down,苏教版,六年级,六上,Unit 7,/kʌt/ /daʊn/,砍伐，砍掉,短语,
too many,苏教版,六年级,六上,Unit 7,/tu:/ /'meni/,太多,短语,
too much,苏教版,六年级,六上,Unit 7,/tu:/ /mʌtʃ/,太多,短语,
plastic,苏教版,六年级,六上,Unit 7,/ˈplæstɪk/,塑料,名词,
glass,苏教版,六年级,六上,Unit 7,/glɑːs/,玻璃,名词,
project,苏教版,六年级,六上,Unit 7,/'prɒdʒekt/,课题；计划,名词,
poster,苏教版,六年级,六上,Unit 7,/'pəʊstə/,海报,名词,
gate,苏教版,六年级,六上,Unit 7,/geɪt/,大门,名词,
get,苏教版,六年级,六上,Unit 8,/get/,收到，接到,动词,
Hong Kong,苏教版,六年级,六上,Unit 8,/ˈhɔŋkɔŋ/,香港,名词,
next week,苏教版,六年级,六上,Unit 8,/nekst/ /wi:k/,下周,短语,
food,苏教版,六年级,六上,Unit 8,/fu:d/,食物，食品,名词,
tangyuan,苏教版,六年级,六上,Unit 8,——,汤圆,名词,
Chinese New Year's Eve,苏教版,六年级,六上,Unit 8,/tʃaɪˈniːz/ /nju:/ /jɪəz/ /i:v/,大年夜，除夕,短语,
Chinese New Year's Day,苏教版,六年级,六上,Unit 8,/tʃaɪˈniːz/ /nju:/ /jɪəz/ /deɪ/,大年初一，春节,短语,
red packet,苏教版,六年级,六上,Unit 8,/red/ /ˈpækɪt/,红包,短语,
lion dance,苏教版,六年级,六上,Unit 8,/'laɪən/ /dɑːns/,舞狮,短语,
fireworks,苏教版,六年级,六上,Unit 8,/'faɪəwɜːks/,烟花表演,名词,
firecracker,苏教版,六年级,六上,Unit 8,/'faɪəkrækə/,鞭炮,名词,
rich,苏教版,六年级,六上,Unit 8,/rɪtʃ/,富有的，有钱的,形容词,
plan,苏教版,六年级,六上,Unit 8,/plæn/,计划，打算,名词,
hooray,苏教版,六年级,六上,Unit 8,/huˈreɪ/,好极了,感叹词,
light,苏教版,六年级,六上,Unit 8,/laɪt/,点燃,动词,
mouse  ,苏教版,六年级,六下,Unit 1,/maʊs/,老鼠,名词,
large  ,苏教版,六年级,六下,Unit 1,/lɑːdʒ/,大的,形容词,
strong  ,苏教版,六年级,六下,Unit 1,/strɔŋ/,强大的，强壮的,形容词,
walk by  ,苏教版,六年级,六下,Unit 1,/wɔːk/ /baɪ/,走过，路过,短语,
wake … up ,苏教版,六年级,六下,Unit 1,/weɪk/ /ʌp/,吵醒，叫醒,短语,
some day  ,苏教版,六年级,六下,Unit 1,/sʌm/ /deɪ/,某一天,短语,
quietly  ,苏教版,六年级,六下,Unit 1,/'kwaɪətli/,小声地，安静地,副词,
weak  ,苏教版,六年级,六下,Unit 1,/wi:k/,弱的，软弱的,副词,
loudly  ,苏教版,六年级,六下,Unit 1,/ˈlaʊdli/,大声地,副词,
let ... go  ,苏教版,六年级,六下,Unit 1,/let/ /gəʊ/,释放，放开,短语,
the next day  ,苏教版,六年级,六下,Unit 1,/ðə/ /nekst/ /deɪ/,第二天,短语,
net  ,苏教版,六年级,六下,Unit 1,/net/,网,名词,
bite  ,苏教版,六年级,六下,Unit 1,/baɪt/,咬,动词,
sharp  ,苏教版,六年级,六下,Unit 1,/ʃɑːp/,锋利的，尖的,形容词,
sadly  ,苏教版,六年级,六下,Unit 1,/ˈsædli/,难过地，伤心地,副词,
just then  ,苏教版,六年级,六下,Unit 1,/dʒʌst/ /ðen/,就在那时,短语,
soon  ,苏教版,六年级,六下,Unit 1,/su:n/,不久，很快,副词,
happily  ,苏教版,六年级,六下,Unit 1,/ˈhæpɪli/,开心地，高兴地,副词,
from then on  ,苏教版,六年级,六下,Unit 1,/frɒm/ /ðen/ /ɒn/,从那时起,短语,
cheer  ,苏教版,六年级,六下,Unit 1,/tʃɪə/,欢呼,动词,
hit  ,苏教版,六年级,六下,Unit 1,/hɪt/,打，击,动词,
deep  ,苏教版,六年级,六下,Unit 1,/di:p/,深的,形容词,
reach  ,苏教版,六年级,六下,Unit 1,/ri:tʃ/,够得着；到达,动词,
quickly  ,苏教版,六年级,六下,Unit 1,/kwɪkli/,迅速地，快地,副词,
pour … into ,苏教版,六年级,六下,Unit 1,/pɔː/ /ˈɪntə/,把……倒入,短语,
habit  ,苏教版,六年级,六下,Unit 2,/'hæbɪt/,习惯,名词,
never  ,苏教版,六年级,六下,Unit 2,/'nevə/,从不,副词,
late  ,苏教版,六年级,六下,Unit 2,/leɪt/,迟，晚,副词,
put … in order ,苏教版,六年级,六下,Unit 2,/pʊt/,把……整理得井井有条,短语,
finish  ,苏教版,六年级,六下,Unit 2,/ˈfɪnɪʃ/,完成,动词,
tidy  ,苏教版,六年级,六下,Unit 2,/ˈtaɪdi/,干净的，整齐的,形容词,
bad  ,苏教版,六年级,六下,Unit 2,/bæd/,不好的，坏的,形容词,
sleepy  ,苏教版,六年级,六下,Unit 2,/'sli:pi/,困的，困倦的,形容词,
last night  ,苏教版,六年级,六下,Unit 2,/lɑːst/ /naɪt/,昨夜,短语,
fast  ,苏教版,六年级,六下,Unit 2,/fɑːst/,快地,副词,
go into  ,苏教版,六年级,六下,Unit 2,/gəʊ/ /ˈɪntə/,走进，走入,短语,
slowly  ,苏教版,六年级,六下,Unit 2,/ˈsləʊli/,慢速地,副词,
badly  ,苏教版,六年级,六下,Unit 2,/'bædli/,差地，不好,副词,
healthy  ,苏教版,六年级,六下,Unit 3,/ˈhelθi/,健康的,形容词,
diet  ,苏教版,六年级,六下,Unit 3,/ˈdaɪət/,饮食,名词,
a little  ,苏教版,六年级,六下,Unit 3,/ə/ /'lɪtl/,一点,短语,
a few  ,苏教版,六年级,六下,Unit 3,/ə/ /fju:/,几个,短语,
at a time  ,苏教版,六年级,六下,Unit 3,/æt/ /ə/ /taɪm/,一次,短语,
cola  ,苏教版,六年级,六下,Unit 3,/ˈkəʊlə/,可乐,名词,
need  ,苏教版,六年级,六下,Unit 3,/ni:d/,需要,动词,
road  ,苏教版,六年级,六下,Unit 4,/rəʊd/,马路，公路,名词,
safety  ,苏教版,六年级,六下,Unit 4,/'seɪfti/,安全,名词,
cross  ,苏教版,六年级,六下,Unit 4,/krɒs/,穿过，穿行,动词,
safely  ,苏教版,六年级,六下,Unit 4,/ˈseɪfli/,安全地,副词,
must  ,苏教版,六年级,六下,Unit 4,/mʌst/,必须,动词,
zebra crossing  ,苏教版,六年级,六下,Unit 4,/ˈzebrə/ /ˈkrɒsɪŋ/,斑马线,名词,
safe  ,苏教版,六年级,六下,Unit 4,/seɪf/,安全的,形容词,
pavement  ,苏教版,六年级,六下,Unit 4,/'peɪvmənt/,人行道,名词,
look out for  ,苏教版,六年级,六下,Unit 4,/lʊk/ /aʊt/ /fɔː/,当心，提防,短语,
easily  ,苏教版,六年级,六下,Unit 4,/ˈiːzəli/,容易地,副词,
follow  ,苏教版,六年级,六下,Unit 4,/ˈfɒləʊ/,遵守,动词,
rule  ,苏教版,六年级,六下,Unit 4,/ru:l/,规则,名词,
stay  ,苏教版,六年级,六下,Unit 4,/steɪ/,保持,动词,
light  ,苏教版,六年级,六下,Unit 4,/laɪt/,灯,名词,
Children’s Day ,苏教版,六年级,六下,Unit 5,/tʃɪldrən/, 儿童节,名词,
clown  ,苏教版,六年级,六下,Unit 5,/claʊn/,小丑,名词,
appear  ,苏教版,六年级,六下,Unit 5,/əˈpɪə/,出现,动词,
balloon  ,苏教版,六年级,六下,Unit 5,/bəˈluːn/,气球,名词,
begin  ,苏教版,六年级,六下,Unit 5,/bɪˈɡɪn/,开始,动词,
put on  ,苏教版,六年级,六下,Unit 5,/pʊt/ /ɒn/,上演，表演,短语,
end  ,苏教版,六年级,六下,Unit 5,/end/,结束,动词,
country  ,苏教版,六年级,六下,Unit 6,/ˈkʌntri/,国家,名词,
will  ,苏教版,六年级,六下,Unit 6,/wɪl/,将，将要,动词,
learn  ,苏教版,六年级,六下,Unit 6,/lɜːn/,学习,动词,
Australia  ,苏教版,六年级,六下,Unit 6,/ɒˈstreɪliə/,澳大利亚,名词,
find out  ,苏教版,六年级,六下,Unit 6,/faɪnd/ /aʊt/,发现,短语,
magazine  ,苏教版,六年级,六下,Unit 6,/mæɡəˈziːn/,杂志,名词,
kangaroo  ,苏教版,六年级,六下,Unit 6,/kæŋɡəˈruː/,袋鼠,名词,
koala  ,苏教版,六年级,六下,Unit 6,/kəʊˈɑːlə/,考拉,名词,
sport-lover  ,苏教版,六年级,六下,Unit 6,/'spɔːtlʌvə/,运动爱好者,名词,
Australian football  ,苏教版,六年级,六下,Unit 6,/ˈlʌvə/,澳式橄榄球,短语,
exciting  ,苏教版,六年级,六下,Unit 6,/ɪkˈsaɪtɪŋ/,令人激动的，令人兴奋的,形容词,
Sydney  ,苏教版,六年级,六下,Unit 6,/ˈsɪdni/,（澳大利亚城市）悉尼,名词,
welcome  ,苏教版,六年级,六下,Unit 6,/'welkəm/,欢迎,动词,
visitor  ,苏教版,六年级,六下,Unit 6,/ˈvɪzɪtə/,游人，游客,名词,
for example  ,苏教版,六年级,六下,Unit 6,/fɔː/ /ɪɡˈzɑːmpl/,例如,短语,
London  ,苏教版,六年级,六下,Unit 6,/ˈlʌndən/,（英国城市）伦敦,名词,
Oxford  ,苏教版,六年级,六下,Unit 6,/ˈɒksfəd/,（英国城市）牛津,名词,
like,苏教版,六年级,六下,Unit 6,/laɪk/,如,介词,
Big Ben  ,苏教版,六年级,六下,Unit 6,/bɪg/ /ben/,（伦敦）大本钟,短语,
London Eye  ,苏教版,六年级,六下,Unit 6,/ˈlʌndən/ /aɪ/,（伦敦的摩天轮）伦敦眼,短语,
Tower Bridge  ,苏教版,六年级,六下,Unit 6,/ˈtaʊə/ /brɪdʒ/,（伦敦）塔桥,短语,
What do you think?  ,苏教版,六年级,六下,Unit 6,/wɒt/ /du:/ /ju:/ /θɪŋk/,你觉得呢？,句子,
month,苏教版,六年级,六下,Unit 6,/mʌnθ/,月,名词,
summer holiday  ,苏教版,六年级,六下,Unit 7,/ˈsʌmə/ /ˈhɒlədeɪ/,暑假,名词,
go back to  ,苏教版,六年级,六下,Unit 7,/gəʊ/ /bæk/ /tu:/,回去,短语,
how long  ,苏教版,六年级,六下,Unit 7,/haʊ/ /lɒŋ/,多久,短语,
stay  ,苏教版,六年级,六下,Unit 7,/steɪ/,停留,动词,
sound  ,苏教版,六年级,六下,Unit 7,/saʊnd/,听起来，听上去,动词,
Disneyland  ,苏教版,六年级,六下,Unit 7,/ˈdɪznilænd/,迪士尼乐园,名词,
Ocean Park  ,苏教版,六年级,六下,Unit 7,/ˈəʊʃ(ə)n/ /pɑːk/,（香港）海洋公园,短语,
Taipei  ,苏教版,六年级,六下,Unit 7,/ˈtaɪpeɪ/,台北,名词,
photo,苏教版,六年级,六下,Unit 7,/ˈfəʊtəʊ/,照片 ,名词,
travel  ,苏教版,六年级,六下,Unit 7,/ˈtræv(ə)l/,旅游,动词,
traveller  ,苏教版,六年级,六下,Unit 7,/ˈtrævlə/,旅行者,名词,
travel around the world  ,苏教版,六年级,六下,Unit 7,/ˈtræv(ə)l/ /əˈraʊnd/ /ðə/ /wɜːld/,环游世界,短语,
different,苏教版,六年级,六下,Unit 7,/ˈdɪfrənt/,不同的 ,形容词,
dream,苏教版,六年级,六下,Unit 8,/dri:m/,梦想,名词,
future,苏教版,六年级,六下,Unit 8,/ˈfjuːtʃə/,将来，未来,名词,
care about  ,苏教版,六年级,六下,Unit 8,/keə/ /ə'baʊt/,关心，在乎,短语,
tooth  ,苏教版,六年级,六下,Unit 8,/tuːθ/,牙齿,名词,
astronaut  ,苏教版,六年级,六下,Unit 8, /ˈæstrənɔːt/,宇航员,名词,
spaceship  ,苏教版,六年级,六下,Unit 8,/ˈspeɪsʃɪp/,宇宙飞船,名词,
football player  ,苏教版,六年级,六下,Unit 8,/ˈfʊtbɔːl/ /'pleɪə/,足球运动员,短语,
World Cup  ,苏教版,六年级,六下,Unit 8,/wɜːld/ /kʌp/,世界杯,名词,
dancer  ,苏教版,六年级,六下,Unit 8,/ˈdɑːnsə/,舞蹈家,名词,
pianist  ,苏教版,六年级,六下,Unit 8,/ˈpɪənɪst/,钢琴演奏家,名词,
come true  ,苏教版,六年级,六下,Unit 8,/kʌm/ /tru:/,实现，成真,短语,
take care of  ,苏教版,六年级,六下,Unit 8,/teɪk/ /keə/ /əv/,爱护；照顾,短语,
scientist  ,苏教版,六年级,六下,Unit 8,/ˈsaɪəntɪst/,科学家,名词,
brave,苏教版,六年级,六下,Unit 8,/breɪv/,勇敢的 ,形容词,
artist  ,苏教版,六年级,六下,Unit 8,/ˈɑːtɪst/,艺术家,名词,
paint  ,苏教版,六年级,六下,Unit 8,/peɪnt/,画画,动词,
